ID,Label,Continent,Region,latitude,longitude
795,Turkmenistan,Asia,Asia,-8.967363,-171.855881
796,Turks and Caicos Isds,Americas,North America,21.694025,-71.797928
798,Tuvalu,Oceania,Oceania,-7.109535,177.64933
800,Uganda,Africa,Africa,1.373333,32.290275
804,Ukraine,Europe,Europe,48.379433,31.16558
784,United Arab Emirates,Asia,Asia,-38.416097,-63.616672
826,United Kingdom,Europe,Europe,55.378051,-3.435973
834,United Rep. of Tanzania,Africa,Africa,-6.369028,34.888822
581,United States Minor Outlying Islands,Americas,North America,0,0
858,Uruguay,Americas,South America,-32.522779,-55.765835
842,USA,Americas,North America,37.09024,-95.712891
860,Uzbekistan,Asia,Asia,41.377491,64.585262
548,Vanuatu,Oceania,Oceania,-15.376706,166.959158
862,Venezuela,Americas,South America,6.42375,-66.58973
704,Viet Nam,Asia,Asia,14.058324,108.277199
876,Wallis and Futuna Isds,Oceania,Oceania,-13.768752,-177.156097
732,Western Sahara,Africa,Africa,40.463667,-3.74922
887,Yemen,Asia,Asia,15.552727,48.516388
894,Zambia,Africa,Africa,-13.133897,27.849332
716,Zimbabwe,Africa,Africa,-19.015438,29.154857
